step:5800 learning_rate= 0.032768 ctc_loss= 0.351162 sequence_distance= 0.010417 train_accuracy= 0.989583
step:5900 learning_rate= 0.032768 ctc_loss= 0.523597 sequence_distance= 0.006944 train_accuracy= 0.993056
WARNING:tensorflow:From /home/lijin/anaconda3/envs/tensor/lib/python3.7/site-packages/tensorflow/python/training/saver.py:966: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
step:6000 learning_rate= 0.032768 ctc_loss= 0.600781 sequence_distance= 0.008929 train_accuracy= 0.991071
step:6100 learning_rate= 0.026214 ctc_loss= 0.833100 sequence_distance= 0.018182 train_accuracy= 0.981818
step:6200 learning_rate= 0.026214 ctc_loss= 1.119751 sequence_distance= 0.111111 train_accuracy= 0.868056
step:6300 learning_rate= 0.026214 ctc_loss= 1.709656 sequence_distance= 0.067708 train_accuracy= 0.911458
step:6400 learning_rate= 0.026214 ctc_loss= 0.321334 sequence_distance= 0.007812 train_accuracy= 0.992188
step:6500 learning_rate= 0.026214 ctc_loss= 0.830359 sequence_distance= 0.052083 train_accuracy= 0.947917
step:6600 learning_rate= 0.026214 ctc_loss= 0.561906 sequence_distance= 0.016667 train_accuracy= 0.983333
step:6700 learning_rate= 0.026214 ctc_loss= 0.176259 sequence_distance= 0.020833 train_accuracy= 0.958333
step:6800 learning_rate= 0.026214 ctc_loss= 0.527087 sequence_distance= 0.029762 train_accuracy= 0.991071
step:6900 learning_rate= 0.026214 ctc_loss= 0.371680 sequence_distance= 0.031250 train_accuracy= 0.937500
step:7000 learning_rate= 0.026214 ctc_loss= 0.482130 sequence_distance= 0.031250 train_accuracy= 0.968750
step:7100 learning_rate= 0.020972 ctc_loss= 1.598672 sequence_distance= 0.038194 train_accuracy= 0.953993
step:7200 learning_rate= 0.020972 ctc_loss= 0.215039 sequence_distance= 0.000000 train_accuracy= 1.000000
step:7300 learning_rate= 0.020972 ctc_loss= 1.011649 sequence_distance= 0.054167 train_accuracy= 0.939583
step:7400 learning_rate= 0.020972 ctc_loss= 0.865446 sequence_distance= 0.078125 train_accuracy= 0.921875
step:7500 learning_rate= 0.020972 ctc_loss= 0.208385 sequence_distance= 0.006944 train_accuracy= 0.993056
step:7600 learning_rate= 0.020972 ctc_loss= 0.067228 sequence_distance= 0.000000 train_accuracy= 1.000000
step:7700 learning_rate= 0.020972 ctc_loss= 0.271158 sequence_distance= 0.031250 train_accuracy= 0.968750
step:7800 learning_rate= 0.020972 ctc_loss= 0.879282 sequence_distance= 0.033854 train_accuracy= 0.966146
step:7900 learning_rate= 0.020972 ctc_loss= 0.424226 sequence_distance= 0.020833 train_accuracy= 0.958333
step:8000 learning_rate= 0.020972 ctc_loss= 0.747301 sequence_distance= 0.052679 train_accuracy= 0.916071
step:8100 learning_rate= 0.016777 ctc_loss= 0.821028 sequence_distance= 0.021875 train_accuracy= 0.971875
step:8200 learning_rate= 0.016777 ctc_loss= 0.232994 sequence_distance= 0.015625 train_accuracy= 0.984375
step:8300 learning_rate= 0.016777 ctc_loss= 0.423968 sequence_distance= 0.020833 train_accuracy= 0.979167
step:8400 learning_rate= 0.016777 ctc_loss= 0.847707 sequence_distance= 0.031250 train_accuracy= 0.968750
step:8500 learning_rate= 0.016777 ctc_loss= 0.378139 sequence_distance= 0.020833 train_accuracy= 0.979167
step:8600 learning_rate= 0.016777 ctc_loss= 0.570469 sequence_distance= 0.009615 train_accuracy= 0.990385
step:8700 learning_rate= 0.016777 ctc_loss= 0.379400 sequence_distance= 0.006944 train_accuracy= 0.993056
step:8800 learning_rate= 0.016777 ctc_loss= 0.089237 sequence_distance= 0.000000 train_accuracy= 1.000000
step:8900 learning_rate= 0.016777 ctc_loss= 0.654097 sequence_distance= 0.018750 train_accuracy= 0.981250
step:9000 learning_rate= 0.016777 ctc_loss= 0.497617 sequence_distance= 0.020833 train_accuracy= 0.958333
step:9100 learning_rate= 0.013422 ctc_loss= 1.424186 sequence_distance= 0.130208 train_accuracy= 0.869792
step:9200 learning_rate= 0.013422 ctc_loss= 0.042127 sequence_distance= 0.000000 train_accuracy= 1.000000
step:9300 learning_rate= 0.013422 ctc_loss= 0.711189 sequence_distance= 0.041667 train_accuracy= 0.958333
step:9400 learning_rate= 0.013422 ctc_loss= 0.815616 sequence_distance= 0.027083 train_accuracy= 0.972917
